time,open,high,low,close,volume
1750686900,3366.5,3367.96,3366.46,3367.79,595
1750687200,3367.81,3371.15,3367.81,3371.05,999
1750687500,3371.06,3372.63,3371.06,3372.0,1208
1750687800,3372.04,3374.83,3372.02,3374.64,953
1750688100,3374.64,3377.15,3374.6,3376.54,929
1750688400,3376.54,3382.0,3375.22,3376.05,1604
1750688700,3376.05,3378.7,3375.79,3378.02,1140
1750689000,3378.07,3380.02,3375.78,3376.1,930
1750689300,3376.1,3377.68,3375.89,3377.67,648
1750689600,3377.67,3379.16,3377.03,3379.03,558
1750689900,3379.04,3379.47,3377.15,3377.17,589
1750690200,3377.17,3379.16,3376.58,3377.24,752
1750690500,3377.24,3381.3,3376.89,3380.71,968
1750690800,3380.69,3381.04,3376.7,3376.89,968
1750691100,3376.89,3377.16,3371.53,3371.53,1020
1750691400,3371.52,3371.52,3368.66,3369.08,998
1750691700,3369.03,3369.13,3362.42,3362.6,1124
1750692000,3362.6,3364.57,3359.96,3362.13,1337
1750692300,3362.12,3363.31,3361.36,3362.48,914
1750692600,3362.64,3363.23,3358.23,3358.84,1070
1750692900,3358.84,3359.62,3355.86,3358.29,967
1750693200,3358.29,3360.01,3358.15,3360.0,728
1750693500,3360.0,3361.42,3359.18,3361.42,849
1750693800,3361.34,3363.81,3361.32,3361.87,1038
1750694100,3361.84,3362.11,3359.79,3360.39,809
1750694400,3360.38,3363.86,3359.82,3362.54,1090
1750694700,3362.55,3364.41,3362.18,3364.17,1207
1750695000,3364.08,3368.26,3363.63,3367.36,1311
1750695300,3367.39,3369.19,3366.56,3367.89,987
1750695600,3367.9,3368.63,3366.5,3367.66,899
1750695900,3367.66,3368.55,3366.32,3368.55,870
1750696200,3368.56,3374.54,3368.29,3374.03,1510
1750696500,3374.04,3377.27,3373.9,3376.61,1567
1750696800,3376.59,3384.66,3376.21,3382.1,1826
1750697100,3381.88,3384.42,3378.84,3380.82,1981
1750697400,3380.9,3387.77,3380.84,3385.23,1986
1750697700,3385.19,3386.34,3380.75,3380.75,1447
1750698000,3380.67,3384.73,3376.08,3376.33,2111
1750698300,3376.32,3376.39,3369.88,3372.88,2054
1750698600,3372.88,3376.04,3371.57,3374.94,1572
1750698900,3375.24,3379.1,3375.04,3377.94,1654
1750699200,3377.75,3381.79,3377.75,3380.69,1395
1750699500,3380.66,3382.47,3377.16,3378.92,1390
1750699800,3378.82,3381.77,3377.59,3381.53,1105
1750700100,3381.43,3382.09,3378.59,3381.63,990
1750700400,3381.61,3384.04,3381.12,3383.75,949
1750700700,3383.74,3384.31,3383.01,3383.91,1116
1750701000,3384.06,3385.86,3383.36,3384.56,1038
1750701300,3384.58,3386.66,3384.5,3386.34,1230
1750701600,3386.36,3388.45,3385.71,3385.72,1266
1750701900,3385.76,3386.6,3384.49,3385.68,1035
1750702200,3385.68,3387.61,3384.83,3387.37,866
1750702500,3387.37,3388.93,3386.83,3387.41,850
1750702800,3387.43,3388.59,3387.09,3387.84,727
1750703100,3387.84,3388.49,3386.45,3388.17,842
1750703400,3388.13,3389.35,3386.27,3388.03,806
1750703700,3388.03,3389.54,3387.08,3387.83,981
1750704000,3387.79,3388.33,3385.97,3386.41,933
1750704300,3386.41,3388.11,3386.08,3387.79,902
1750704600,3387.91,3389.73,3387.61,3389.3,1167
1750704900,3389.31,3389.81,3386.93,3387.16,915
1750705200,3387.16,3388.57,3387.06,3387.64,756
1750705500,3387.59,3388.94,3387.24,3388.78,786
1750705800,3388.91,3389.27,3387.05,3387.64,701
1750706100,3387.66,3390.89,3387.19,3390.0,1025
1750706400,3390.0,3391.98,3389.81,3391.72,1102
1750706700,3391.72,3393.43,3391.03,3391.31,954
1750707000,3391.31,3392.32,3391.21,3391.45,1010
1750707300,3391.45,3392.26,3386.64,3388.86,1641
1750707600,3388.87,3389.23,3380.58,3386.44,1850
1750707900,3386.43,3386.48,3383.38,3385.32,1301
1750708200,3385.07,3388.1,3384.73,3387.03,1116
1750708500,3387.04,3390.37,3387.02,3389.8,1393
1750708800,3389.75,3391.57,3384.91,3387.26,1499
1750709100,3387.26,3390.03,3384.93,3388.69,1115
1750709400,3388.72,3388.84,3385.76,3387.29,1008
1750709700,3387.29,3387.66,3381.27,3381.56,1214
1750710000,3381.58,3381.99,3378.44,3379.23,1455
1750710300,3379.28,3380.12,3375.64,3379.31,1485
1750710600,3379.41,3383.42,3378.38,3382.78,1182
1750710900,3382.78,3384.56,3381.91,3382.66,863
1750711200,3382.66,3383.16,3381.75,3381.88,835
1750711500,3381.91,3382.3,3380.15,3382.05,992
1750711800,3382.15,3383.1,3381.21,3382.22,719
1750712100,3382.22,3383.43,3381.93,3382.44,802
1750712400,3382.52,3383.14,3379.17,3379.76,896
1750712700,3379.76,3381.21,3379.06,3380.79,822
1750713000,3380.79,3386.09,3380.38,3386.02,828
1750713300,3386.02,3388.04,3384.55,3385.22,934
1750713600,3385.22,3386.33,3384.75,3385.12,782
1750713900,3385.16,3385.46,3383.32,3384.75,762
1750714200,3384.75,3384.98,3377.15,3377.49,889
1750714500,3377.49,3380.43,3376.83,3379.3,701
1750714800,3379.05,3379.6,3378.51,3378.9,549
1750715100,3378.9,3380.42,3378.44,3379.61,631
1750715400,3379.61,3381.5,3379.59,3380.26,647
1750715700,3380.26,3380.72,3378.39,3378.57,736
1750716000,3378.58,3380.13,3378.07,3379.18,787
1750716300,3379.18,3380.94,3379.08,3379.11,534
1750716600,3379.1,3380.49,3378.92,3380.39,575
1750716900,3380.38,3380.96,3379.76,3380.91,439
1750717200,3380.91,3381.53,3380.15,3380.41,558
1750717500,3380.41,3380.89,3379.56,3380.59,572
1750717800,3380.6,3380.86,3379.27,3380.72,479
1750718100,3380.69,3382.1,3380.52,3381.47,578
1750718400,3381.47,3381.56,3378.76,3379.19,647
1750718700,3379.19,3379.62,3378.43,3378.68,648
1750719000,3378.68,3379.29,3376.0,3377.24,870
1750719300,3377.19,3377.58,3375.61,3376.41,981
1750719600,3376.23,3377.27,3374.87,3376.55,469
1750719900,3376.55,3376.55,3374.53,3375.87,358
1750720200,3375.87,3376.21,3374.01,3374.06,324
1750720500,3374.06,3375.28,3372.94,3374.58,319
1750720800,3374.58,3374.58,3372.51,3372.85,360
1750721100,3372.85,3373.34,3371.95,3372.65,403
1750721400,3372.65,3372.69,3370.08,3372.28,396
1750721700,3372.29,3372.38,3369.7,3370.17,433
1750722000,3370.17,3370.85,3367.43,3370.85,478
1750722300,3370.82,3371.3,3368.59,3369.12,389
1750722600,3369.12,3370.43,3367.31,3368.74,485
1750722900,3368.74,3369.26,3368.07,3368.57,228
1750726800,3368.48,3369.82,3357.27,3358.66,1163
1750727100,3358.68,3363.62,3358.51,3362.44,997
1750727400,3362.44,3363.76,3356.31,3357.58,1021
1750727700,3357.58,3360.96,3352.63,3352.81,1522
1750728000,3352.84,3357.31,3350.4,3351.45,1570
1750728300,3351.45,3357.95,3351.22,3356.56,1452
1750728600,3356.56,3361.23,3356.34,3357.13,1555
1750728900,3357.15,3359.12,3355.67,3356.9,1147
1750729200,3356.94,3358.24,3355.6,3357.8,1032
1750729500,3357.79,3359.93,3355.05,3358.85,901
1750729800,3358.83,3359.33,3357.04,3357.77,798
1750730100,3357.76,3358.21,3354.07,3355.42,1045
1750730400,3355.44,3357.35,3351.64,3354.58,1645
1750730700,3354.58,3355.42,3350.3,3355.38,1392
1750731000,3355.37,3355.86,3353.92,3354.32,1090
1750731300,3354.23,3354.3,3349.05,3351.8,1511
1750731600,3351.83,3353.59,3350.67,3352.93,1127
1750731900,3352.93,3353.95,3350.65,3352.3,907
1750732200,3352.3,3353.27,3345.09,3345.33,1203
1750732500,3345.35,3349.33,3342.68,3347.54,1860
1750732800,3347.54,3351.27,3345.34,3351.01,1282
1750733100,3351.01,3351.12,3347.64,3347.69,1400
1750733400,3347.63,3348.57,3345.11,3345.55,1320
1750733700,3345.53,3345.53,3341.47,3344.3,1597
1750734000,3344.27,3345.18,3333.22,3335.84,2173
1750734300,3335.84,3339.95,3334.77,3339.94,1596
1750734600,3339.94,3345.05,3339.93,3344.91,1545
1750734900,3344.91,3347.28,3344.5,3346.69,1575
1750735200,3346.69,3348.11,3346.29,3346.87,1322
1750735500,3346.88,3349.32,3346.34,3348.99,1234
1750735800,3348.99,3350.33,3348.62,3349.32,1344
1750736100,3349.32,3351.2,3349.27,3350.11,1219
1750736400,3350.1,3352.29,3348.73,3351.97,1273
1750736700,3351.98,3355.21,3351.34,3352.2,1475
1750737000,3352.21,3354.64,3350.41,3352.77,1734
1750737300,3352.77,3353.8,3350.05,3351.08,1777
1750737600,3351.09,3354.33,3346.79,3350.15,2532
1750737900,3350.11,3353.78,3347.43,3349.8,1763
1750738200,3349.84,3350.93,3347.17,3349.08,1974
1750738500,3349.08,3351.97,3348.87,3351.04,1791
1750738800,3351.04,3352.83,3350.55,3350.84,1369
1750739100,3350.83,3351.99,3349.74,3349.74,1197
1750739400,3349.72,3349.93,3347.58,3348.76,1512
1750739700,3348.71,3348.88,3343.17,3345.87,1643
1750740000,3345.91,3347.6,3342.58,3344.96,1835
1750740300,3344.95,3345.38,3342.19,3343.54,1610
1750740600,3343.55,3347.25,3343.36,3346.97,1464
1750740900,3346.96,3348.36,3346.35,3347.71,1268
1750741200,3347.72,3350.62,3347.08,3350.61,1376
1750741500,3350.63,3352.05,3350.09,3351.6,1470
1750741800,3351.56,3352.86,3350.63,3350.74,1247
1750742100,3350.72,3351.41,3347.8,3348.54,1151
1750742400,3348.54,3348.54,3345.9,3346.86,1210
1750742700,3346.86,3348.33,3346.44,3347.12,801
1750743000,3347.11,3348.96,3347.11,3348.68,1267
1750743300,3348.69,3351.51,3348.46,3351.39,1285
1750743600,3351.38,3351.41,3349.24,3349.29,1100
1750743900,3349.29,3351.79,3348.89,3350.94,1109
1750744200,3350.93,3352.07,3350.93,3351.44,884
1750744500,3351.44,3352.41,3350.59,3351.89,1021
1750744800,3351.9,3353.52,3351.55,3352.91,1098
1750745100,3352.91,3353.96,3352.73,3353.4,834
1750745400,3353.41,3354.22,3352.99,3353.29,818
1750745700,3353.29,3354.71,3352.6,3353.46,980
1750746000,3353.46,3354.05,3351.61,3351.93,988
1750746300,3351.93,3353.19,3351.91,3352.82,936
1750746600,3352.82,3356.34,3352.64,3356.09,1258
1750746900,3356.09,3357.89,3354.04,3354.17,1075
1750747200,3354.15,3354.3,3352.38,3352.97,902
1750747500,3352.96,3353.53,3351.82,3353.53,806
1750747800,3353.52,3353.53,3352.02,3352.66,774
1750748100,3352.66,3352.84,3351.61,3352.45,872
1750748400,3352.41,3352.6,3348.88,3351.09,1290
1750748700,3351.09,3353.37,3350.54,3350.97,1019
1750749000,3350.96,3351.07,3347.78,3349.2,1151
1750749300,3349.21,3350.6,3348.43,3349.94,726
1750749600,3350.0,3350.36,3348.56,3348.94,526
1750749900,3348.94,3349.62,3348.51,3348.96,564
1750750200,3348.96,3348.99,3347.04,3348.56,759
1750750500,3348.55,3349.46,3348.26,3349.12,659
1750750800,3349.13,3349.56,3348.09,3348.77,684
1750751100,3348.75,3349.58,3348.54,3348.94,601
1750751400,3348.93,3349.36,3348.41,3348.61,563
1750751700,3348.61,3349.27,3348.2,3348.58,603
1750752000,3348.57,3348.76,3347.7,3348.1,719
1750752300,3348.13,3348.37,3344.94,3345.33,949
1750752600,3345.34,3345.37,3341.33,3341.81,1222
1750752900,3341.82,3343.64,3339.87,3342.5,1335
1750753200,3342.48,3342.49,3340.37,3340.5,1046
1750753500,3340.49,3340.49,3337.73,3338.5,1220
1750753800,3338.56,3339.59,3336.84,3337.08,1538
1750754100,3337.06,3338.42,3333.51,3333.51,1712
1750754400,3333.51,3336.08,3332.1,3332.96,1550
1750754700,3332.96,3334.79,3329.75,3333.59,1664
1750755000,3333.6,3333.6,3326.7,3328.49,1699
1750755300,3328.54,3332.46,3327.92,3332.04,1736
1750755600,3332.1,3333.13,3329.9,3331.02,1717
1750755900,3331.0,3331.63,3328.17,3328.18,1733
1750756200,3328.18,3329.08,3324.49,3324.76,1978
1750756500,3324.68,3328.65,3323.86,3325.76,1860
1750756800,3325.75,3326.83,3323.47,3323.98,1970
1750757100,3323.95,3324.78,3321.95,3322.58,1769
1750757400,3322.73,3323.51,3318.51,3319.1,1832
1750757700,3319.18,3321.18,3316.06,3320.86,2063
1750758000,3320.85,3324.02,3317.33,3317.62,1856
1750758300,3317.62,3323.57,3317.03,3322.6,1744
1750758600,3322.6,3323.52,3321.88,3322.82,1467
1750758900,3322.78,3324.25,3321.57,3322.77,1548
1750759200,3322.75,3326.06,3322.12,3323.7,1774
1750759500,3323.63,3323.7,3320.82,3321.27,1733
1750759800,3321.28,3322.33,3316.58,3321.78,1935
1750760100,3321.77,3322.25,3319.5,3320.66,1506
1750760400,3320.6,3321.86,3319.54,3320.23,1292
1750760700,3320.23,3323.84,3320.04,3321.91,1500
1750761000,3321.94,3328.35,3321.84,3327.15,2080
1750761300,3327.36,3328.93,3325.2,3326.9,1594
1750761600,3326.92,3327.08,3324.14,3324.59,1236
1750761900,3324.59,3326.0,3322.77,3322.78,1363
1750762200,3322.96,3328.47,3322.86,3327.85,1768
1750762500,3327.85,3331.72,3326.92,3329.66,1603
1750762800,3329.61,3332.2,3326.6,3328.25,1812
1750763100,3328.32,3330.19,3326.25,3328.08,1441
1750763400,3328.1,3331.31,3327.87,3330.92,1275
1750763700,3330.91,3332.38,3329.91,3330.35,1504
1750764000,3330.32,3330.74,3326.93,3327.67,1525
1750764300,3327.63,3328.4,3325.72,3327.06,1375
1750764600,3327.01,3328.05,3324.91,3327.37,1242
1750764900,3327.27,3327.74,3326.25,3327.65,1042
1750765200,3327.67,3328.44,3327.14,3328.24,1104
1750765500,3328.23,3328.36,3325.53,3327.77,972
1750765800,3327.76,3328.16,3324.68,3325.93,987
1750766100,3325.93,3327.29,3325.52,3327.29,932
1750766400,3327.3,3328.75,3324.7,3324.82,1348
1750766700,3324.84,3325.38,3322.73,3324.01,1393
1750767000,3324.02,3325.64,3323.39,3324.9,1018
1750767300,3324.93,3324.93,3321.04,3323.32,1330
1750767600,3323.29,3323.66,3319.61,3320.66,1320
1750767900,3320.65,3322.77,3320.18,3320.76,1219
1750768200,3320.68,3321.22,3319.14,3320.99,1099
1750768500,3320.98,3322.44,3320.98,3321.67,1064
1750768800,3321.56,3322.33,3320.26,3322.26,1098
1750769100,3322.27,3323.33,3319.93,3321.37,1232
1750769400,3321.03,3321.32,3318.49,3318.85,1240
1750769700,3318.82,3320.1,3317.94,3318.49,1180
1750770000,3318.47,3321.77,3318.47,3320.72,1264
1750770300,3320.73,3321.93,3320.6,3321.72,1058
1750770600,3321.74,3323.72,3321.15,3323.32,1017
1750770900,3323.32,3324.62,3322.9,3323.74,1082
